timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637009071054,1556,HTTP Request,200,OK,jmeter-getting 1-2,text,true,,105889,501,5,5,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,226,0,160
1637009071054,226,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-2,text,true,,727,126,5,5,https://www.google.com/classroom,226,0,160
1637009071282,928,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-2,text,true,,1917,123,5,5,https://classroom.google.com/,927,0,150
1637009072211,399,HTTP Request-2,200,OK,jmeter-getting 1-2,text,true,,103245,252,5,5,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,244,0,141
1637009072057,1029,HTTP Request,200,OK,jmeter-getting 1-4,text,true,,105779,501,5,5,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,210,0,146
1637009072057,210,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-4,text,true,,727,126,5,5,https://www.google.com/classroom,210,0,146
1637009072268,433,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-4,text,true,,1917,123,5,5,https://classroom.google.com/,433,0,128
1637009072702,384,HTTP Request-2,200,OK,jmeter-getting 1-4,text,true,,103135,252,5,5,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,229,0,125
1637009070659,2687,HTTP Request,200,OK,jmeter-getting 1-1,text,true,,104888,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,559,0,493
1637009070659,561,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-1,text,true,,727,126,4,4,https://www.google.com/classroom,559,0,493
1637009071222,1713,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-1,text,true,,1917,123,4,4,https://classroom.google.com/,1713,0,220
1637009072938,408,HTTP Request-2,200,OK,jmeter-getting 1-1,text,true,,102244,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,245,0,150
1637009071556,1810,HTTP Request,200,OK,jmeter-getting 1-3,text,true,,105731,501,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,212,0,155
1637009071556,212,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-3,text,true,,727,126,3,3,https://www.google.com/classroom,212,0,155
1637009071769,1182,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-3,text,true,,1917,123,3,3,https://classroom.google.com/,1182,0,141
1637009072952,414,HTTP Request-2,200,OK,jmeter-getting 1-3,text,true,,103087,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,245,0,149
1637009072550,1509,HTTP Request,200,OK,jmeter-getting 1-5,text,true,,104868,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,203,0,140
1637009072550,203,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-5,text,true,,727,126,4,4,https://www.google.com/classroom,203,0,140
1637009072754,910,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-5,text,true,,1917,123,4,4,https://classroom.google.com/,910,0,135
1637009073665,394,HTTP Request-2,200,OK,jmeter-getting 1-5,text,true,,102224,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,232,0,141
1637009073049,1732,HTTP Request,200,OK,jmeter-getting 1-6,text,true,,105907,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,205,0,145
1637009073049,206,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-6,text,true,,727,126,4,4,https://www.google.com/classroom,205,0,145
1637009073257,1124,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-6,text,true,,1917,123,4,4,https://classroom.google.com/,1124,0,156
1637009074383,398,HTTP Request-2,200,OK,jmeter-getting 1-6,text,true,,103263,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,246,0,142
1637009073549,1533,HTTP Request,200,OK,jmeter-getting 1-7,text,true,,106011,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,202,0,143
1637009073549,203,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-7,text,true,,727,126,4,4,https://www.google.com/classroom,202,0,143
1637009073752,917,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-7,text,true,,1917,123,4,4,https://classroom.google.com/,916,0,140
1637009074671,411,HTTP Request-2,200,OK,jmeter-getting 1-7,text,true,,103367,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,246,0,149
1637009074556,961,HTTP Request,200,OK,jmeter-getting 1-9,text,true,,105741,501,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,208,0,146
1637009074556,208,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-9,text,true,,727,126,3,3,https://www.google.com/classroom,208,0,146
1637009074765,347,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-9,text,true,,1917,123,3,3,https://classroom.google.com/,347,0,154
1637009075114,403,HTTP Request-2,200,OK,jmeter-getting 1-9,text,true,,103097,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,248,0,152
1637009074050,1728,HTTP Request,200,OK,jmeter-getting 1-8,text,true,,105751,501,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,223,0,161
1637009074050,223,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-8,text,true,,727,126,3,3,https://www.google.com/classroom,223,0,161
1637009074275,1106,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-8,text,true,,1917,123,3,3,https://classroom.google.com/,1106,0,147
1637009075383,395,HTTP Request-2,200,OK,jmeter-getting 1-8,text,true,,103107,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,238,0,140
1637009075057,1539,HTTP Request,200,OK,jmeter-getting 1-10,text,true,,104850,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,210,0,148
1637009075057,210,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-10,text,true,,727,126,4,4,https://www.google.com/classroom,210,0,148
1637009075269,928,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-10,text,true,,1917,123,4,4,https://classroom.google.com/,928,0,152
1637009076197,398,HTTP Request-2,200,OK,jmeter-getting 1-10,text,true,,102206,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,233,0,132
1637009075548,1814,HTTP Request,200,OK,jmeter-getting 1-11,text,true,,104924,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,230,0,167
1637009075548,230,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-11,text,true,,727,126,4,4,https://www.google.com/classroom,230,0,167
1637009075779,1147,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-11,text,true,,1917,123,4,4,https://classroom.google.com/,1147,0,142
